date        pg      sp         abt
19981130 -0.01198 0.059126 0.021277
19981231 0.042083 0.056375 0.020833
19990129 -0.00167 0.041009 -0.049235
19990226 -0.015131 -0.032283 -0.002692
19990331 0.094274 0.038794 0.010796
19990430 -0.039209 0.037944 0.037009
19990528 -0.004664 -0.02497 -0.065891
19990630 -0.044177 0.054438 0.004149
19990730 0.018291 -0.032046 -0.049972
19990831 0.095928 -0.006254 0.010189
19990930 -0.055416 -0.028552 -0.154179
19991029 0.12208 0.062539 0.105145
19991130 0.034565 0.019062 -0.058824
19991231 0.009793 0.057844 -0.044408
20000131 -0.074661 -0.050904 -0.098589
20000229 -0.130489 -0.020108 0.013436
20000331 -0.357041 0.09672 0.066288
20000428 0.063186 -0.030796 0.097762
20000531 0.112971 -0.021915 0.058537
20000630 -0.139098 0.023934 0.095238
20000731 -0.000437 -0.016341 -0.061655
20000831 0.086813 0.060699 0.051051
20000929 0.083923 -0.053483 0.087143
20001031 0.071455 -0.004949 0.114376
20001130 0.048119 -0.080069 0.042604
20001229 0.047579 0.004053 -0.120318
20010131 -0.079649 0.034637 -0.069935
20010228 -0.018653 -0.092291 0.092064
20010330 -0.112057 -0.064205 -0.036742
20010430 -0.035144 0.076814 -0.012715
20010531 0.069775 0.00509 0.120742
20010629 -0.006849 -0.025004 -0.076568
20010731 0.119122 -0.010772 0.120833
20010831 0.044072 -0.064108 -0.072588
20010928 -0.018341 -0.081723 0.04326
20011031 0.018821 0.018099 0.025844
20011130 0.049878 0.075176 0.038128
20011231 0.021559 0.007574 0.013636
20020131 0.037028 -0.015574 0.038744
20020228 0.038075 -0.020766 -0.019931
20020328 0.062507 0.036739 -0.06985
20020430 0.006105 -0.061418 0.030133
20020531 -0.007866 -0.009081 -0.119555
20020628 0.00543 -0.072465 -0.207368
20020731 0.00112 -0.078995 0.106109
20020830 -0.003821 0.004881 -0.033325
20020930 0.008235 -0.110013 0.009243
20021031 -0.005818 0.086436 0.042203
20021129 -0.044319 0.05707 0.045617
20021231 0.016681 -0.060333 -0.086341
20030131 0.000465 -0.027415 -0.041125
20030228 -0.043356 -0.017004 -0.065582
20030331 0.087833 0.008358 0.055868
20030430 0.013588 0.081044 0.086812
20030530 0.021925 0.050899 0.09648
20030630 -0.028752 0.011322 -0.017733
20030731 -0.009587 0.016224 -0.097463
20030829 -0.006601 0.017873 0.026752
20030930 0.063352 -0.011944 0.055831
20031031 0.063833 0.054962 0.007403
20031128 -0.020857 0.007129 0.037072
20031231 0.037822 0.050765 0.054299
20040130 0.01657 0.017276 -0.070279
20040227 0.014147 0.012209 -0.0065
20040331 0.02312 -0.016359 -0.03972
20040430 0.013063 -0.016791 0.077372
20040528 0.019574 0.012083 -0.004019
20040630 0.009831 0.017989 -0.01092
20040730 -0.037472 -0.034291 -0.028214
20040831 0.07325 0.002287 0.059466
20040930 -0.033053 0.009364 0.016071
20041029 -0.049704 0.014014 0.012512
20041130 0.044939 0.038595 -0.015717
20041231 0.029918 0.032458 0.111773
20050131 -0.029049 -0.02529 -0.029368
20050228 -0.00263 0.018903 0.021546
20050331 -0.001695 -0.019118 0.013699
20050429 0.026981 -0.020109 0.060382
20050531 0.018467 0.029952 -0.018714
20050630 -0.043518 -0.000143 0.015962
20050729 0.059905 0.035968 -0.04295
20050831 -0.002696 -0.011222 -0.032168
20050930 0.071738 0.006949 -0.060492
20051031 -0.053649 -0.017741 0.021816
20051130 0.021432 0.035186 -0.124042
20051230 0.012065 -0.000952 0.045611
20060131 0.028162 0.025467 0.101319
20060228 0.011818 0.000453 0.02387
20060331 -0.038378 0.011065 -0.038705
20060428 0.015443 0.012187 0.013304
20060531 -0.06803 -0.030917 -0.000936
20060630 0.024885 8.7e-05 0.021311
20060731 0.016367 0.005086 0.102155
20060831 0.101424 0.021274 0.019468
20060929 0.001292 0.024566 -0.002875
20061031 0.027751 0.031508 -0.015548
20061130 -0.009465 0.016467 -0.017891
20061229 0.023571 0.012616 0.043935
20070131 0.014159 0.014059 0.094129
20070228 -0.021273 -0.021846 0.030566
20070330 -0.005198 0.00998 0.021604
20070430 0.025174 0.043291 0.02052
20070531 -0.013199 0.032549 -0.004769
20070629 -0.037136 -0.017816 -0.049689
20070731 0.016669 -0.031982 -0.047339
20070831 0.055771 0.012864 0.024068
20070928 0.077017 0.035794 0.032942
20071031 -0.006682 0.014822 0.024711
20071130 0.064442 -0.044043 0.052911
20071231 -0.007838 -0.008628 -0.023648
20080131 -0.104195 -0.061163 0.006322
20080229 0.011617 -0.034761 -0.046814
20080331 0.058779 -0.00596 0.029879
20080430 -0.037391 0.047547 -0.03699
20080530 -0.014914 0.010674 0.068246
20080630 -0.079334 -0.085962 -0.059982
20080731 0.083374 -0.009859 0.070417
20080829 0.065516 0.012191 0.019347
20080930 -0.001147 -0.090791 0.002612
20081031 -0.068159 -0.169425 -0.03595
20081128 -0.002944 -0.074849 -0.050045
20081231 -0.039316 0.007822 0.018706
20090130 -0.111938 -0.085657 0.045531
20090227 -0.116147 -0.109931 -0.146104
20090331 -0.022421 0.085405 0.007605
20090430 0.059248 0.093925 -0.114256
20090529 0.050566 0.053081 0.076703
20090630 -0.016173 0.000196 0.043941
20090731 0.094912 0.074142 -0.035077
20090831 -0.025221 0.03356 0.005334
20090930 0.070412 0.035723 0.093743
20091030 0.008978 -0.019762 0.030321
20091130 0.075 0.057364 0.077516
20091231 -0.027586 0.017771 -0.009176
20100129 0.022431 -0.036974 -0.012039
20100226 0.028107 0.028514 0.025312
20100331 -0.000158 0.058796 -0.029477
20100430 -0.009929 0.014759 -0.020501
20100528 -0.017214 -0.081976 -0.070367
20100630 -0.01817 -0.053882 -0.0164
20100730 0.027706 0.068778 0.058572
20100831 -0.024362 -0.047449 0.005297
20100930 0.005028 0.087551 0.058776
20101029 0.068064 0.036856 -0.009188
20101130 -0.039327 -0.00229 -0.093726
20101231 0.053381 0.0653 0.030101
20110131 -0.011164 0.022646 -0.048215
20110228 -0.001267 0.031957 0.065102
20110331 -0.022998 -0.001047 0.019751
20110429 0.062094 0.028495 0.070744
20110531 0.032357 -0.013501 0.004035
20110630 -0.051194 -0.018258 0.007081
20110729 -0.024461 -0.021474 -0.015583
20110831 0.035616 -0.056791 0.023188
20110930 -0.007852 -0.071762 -0.02609
20111031 0.02113 0.107723 0.062769
20111130 0.009064 -0.005059 0.012623
20111230 0.033142 0.008533 0.030797
