        Mkt-RF     SMB     HML      RF
199707    7.33   -2.52   -0.13    0.43
199708   -4.15    7.34    1.37    0.41
199709    5.35    2.68   -0.25    0.44
199710   -3.80   -0.79    2.21    0.42
199711    2.98   -5.07    1.01    0.39
199712    1.32   -2.40    3.84    0.48
199801    0.15   -0.94   -2.07    0.43
199802    7.03    0.32   -0.86    0.39
199803    4.76   -0.99    1.23    0.39
199804    0.73    0.48    0.27    0.43
199805   -3.07   -3.54    4.12    0.40
199806    3.18   -3.15   -2.22    0.41
199807   -2.46   -4.92   -1.15    0.40
199808  -16.08   -5.75    5.24    0.43
199809    6.15   -0.15   -3.88    0.46
199810    7.13   -3.20   -2.77    0.32
199811    6.10    1.14   -3.43    0.31
199812    6.16   -0.30   -4.70    0.38
